datetime,Classic_occ,AI_occ,Classic_price,AI_price,traffic_score,base_entries,actual_entries,lost_entries_step
2022-06-26 07:10:00,30.488347416096143,180.0,2.296852935024025,1.75,2.717766310675365,0.25,0.42768564629621175,-0.17768564629621175
2022-06-26 07:15:00,25.396246325217774,180.0,2.296852935024025,1.75,2.2748024370148987,0.25,0.4798997808039898,-0.22989978080398982
2022-06-26 07:20:00,64.67492033838603,170.66667699873383,2.255029426021432,1.75,3.3702394043099986,0.25,0.30013979864208457,-0.050139798642084565
2022-06-26 07:25:00,30.04850128543957,126.02320903654612,2.255029426021432,1.75,3.4742855195622973,0.25,0.2223924231518604,0.02760757684813961
2022-06-26 07:30:00,40.98193043325082,180.0,2.255029426021432,1.75,2.2517864982103752,0.25,0.4278621309568906,-0.17786213095689057
2022-06-26 07:35:00,30.893510399173415,180.0,2.255029426021432,1.75,3.1539182488145343,0.25,0.3943461188679141,-0.1443461188679141
2022-06-26 07:40:00,60.86630519616718,180.0,2.1579812912407546,1.75,2.9945431200626738,0.25,0.42910422340764526,-0.17910422340764526
2022-06-26 07:45:00,47.896363338437595,180.0,2.1579812912407546,1.75,1.233781481377021,0.25,0.40603089373665235,-0.15603089373665235
2022-06-26 07:50:00,40.674474413944424,137.08915459870872,2.1579812912407546,1.75,1.5388958882152939,0.25,0.24616351447674673,0.0038364855232532746
2022-06-26 07:55:00,61.99314238266388,142.1021066322119,2.1579812912407546,1.75,1.0746413162522601,0.25,0.256063225778058,-0.006063225778058012
2022-06-26 08:00:00,72.02603955972234,142.72301658913548,2.0243789043676568,1.75,1.5017077205385927,0.25,0.25809061022917806,-0.008090610229178063
2022-06-26 08:05:00,59.07425424261953,180.0,2.0243789043676568,1.75,1.8647314503567791,0.25,0.3293079966575002,-0.07930799665750021
2022-06-26 08:10:00,51.354363895635544,93.57087297871277,2.0243789043676568,1.75,2.9684102239832715,0.25,0.16773714167802498,0.08226285832197502
2022-06-26 08:15:00,44.874157835054135,123.0196030385551,2.0243789043676568,1.75,2.2058324442536676,0.25,0.2195737360118647,0.030426263988135305
2022-06-26 08:20:00,46.09942204506905,144.7972151459285,2.0243789043676568,1.75,1.0725375958099947,0.25,0.25733088710057783,-0.007330887100577832
2022-06-26 08:25:00,59.000948988613494,143.71569574087187,2.0243789043676568,1.75,0.9566463013889048,0.25,0.2543136096595756,-0.004313609659575612
2022-06-26 08:30:00,53.63132210261236,140.7681436090756,2.0243789043676568,1.75,2.15032451267703,0.25,0.2480341400136258,0.001965859986374191
2022-06-26 08:35:00,43.207488004114275,170.26312978520107,2.0243789043676568,1.75,2.983415763066712,0.25,0.2987289328717385,-0.04872893287173852
2022-06-26 08:40:00,61.82078269183985,146.28785005262588,2.0243789043676568,1.75,2.252699169578543,0.25,0.2555773596721829,-0.005577359672182924
2022-06-26 08:45:00,90.24152967679981,126.08507831722443,2.0243789043676568,1.75,2.743724212658336,0.25,0.21935273084479315,0.030647269155206852
2022-06-26 08:50:00,97.83754064203703,127.57031880737122,2.0243789043676568,1.75,2.15748536372467,0.25,0.22100492085896942,0.028995079141030583
2022-06-26 08:55:00,62.227593523585824,180.0,2.0243789043676568,1.75,2.2566918574583004,0.25,0.346599943579774,-0.09659994357977397
2022-06-26 09:00:00,63.464899272290545,119.99346698804322,2.0243789043676568,1.75,0.19723119843596582,0.5,0.41229559833155355,0.08770440166844645
2022-06-26 09:05:00,53.51152980240428,153.57365950608641,2.0243789043676568,1.75,0.8608546482775918,0.5,0.5276921172066047,-0.027692117206604694
2022-06-26 09:10:00,54.971231903236735,145.85591773271457,2.0243789043676568,1.75,0.6375491110373463,0.5,0.5011880469865589,-0.0011880469865589438
2022-06-26 09:15:00,71.5200376426605,118.41363005419151,2.0243789043676568,1.75,1.3805371800561614,0.5,0.40690321665159335,0.09309678334840665
2022-06-26 09:20:00,77.75875486521798,131.36250327457606,2.0243789043676568,1.75,1.5474703466677935,0.5,0.45141254262792435,0.04858745737207565
2022-06-26 09:25:00,81.77872836596458,109.91158295023281,2.0243789043676568,1.75,0.7593946434242169,0.5,0.3777099685894005,0.12229003141059952
2022-06-26 09:30:00,66.37344427196211,115.08659185953967,2.0243789043676568,1.75,0.6390388851624718,0.5,0.3955054680192836,0.1044945319807164
2022-06-26 09:35:00,57.107177225671194,110.54147485778071,2.0243789043676568,1.75,1.0649119182897073,0.5,0.37989694114439837,0.12010305885560163
2022-06-26 09:40:00,98.27537226462196,180.0,1.8906491253357123,1.75,1.596139321151774,0.5,0.8393771927173124,-0.33937719271731237
2022-06-26 09:45:00,88.1243882254745,127.7310473855245,1.8906491253357123,1.75,0.8184083078919664,0.5,0.438998033279987,0.06100196672001301
2022-06-26 09:50:00,109.14910837349541,125.75246207576535,1.8906491253357123,1.75,0.8729662257676367,0.5,0.432210564529386,0.067789435470614
2022-06-26 09:55:00,86.35417967639285,112.356370196136,1.8906491253357123,1.75,0.9102256784673892,0.5,0.38617963016611434,0.11382036983388566
2022-06-26 10:00:00,115.46022248069188,110.66089356231693,1.7659419527088525,1.75,0.47390781464788967,0.5,0.380363307820788,0.11963669217921202
2022-06-26 10:05:00,121.48401117345303,127.15048998804436,1.7659419527088525,1.75,0.8741561472898507,0.5,0.4328263058218329,0.0671736941781671
2022-06-26 10:10:00,111.65973238935474,141.1358649762088,1.7659419527088525,1.75,1.6314362229232588,0.5,0.4758439626665186,0.024156037333481373
2022-06-26 10:15:00,106.43359744664559,143.86509288134064,1.7659419527088525,1.75,2.087212117011235,0.5,0.48045619599406003,0.01954380400593997
2022-06-26 10:20:00,180.0,141.32432369248116,1.6640345725307304,1.75,2.9358256167269614,0.5,0.4675470923353182,0.032452907664681785
2022-06-26 10:25:00,180.0,180.0,1.6640345725307304,1.75,3.897768336096666,0.5,0.685653704111109,-0.18565370411110904
2022-06-26 10:30:00,180.0,119.56283177036717,1.6640345725307304,1.75,2.2106003342644134,0.5,0.3882742210543996,0.11172577894560037
