date,hour,parking_lot,entries,exits,occupancy_forecast
2022-06-18,4,P023,0,0,57
2022-06-18,5,P023,0,1,56
2022-06-18,6,P023,0,1,55
2022-06-18,7,P023,0,6,49
2022-06-18,8,P023,0,4,45
2022-06-18,9,P023,0,10,35
2022-06-18,10,P023,1,0,36
2022-06-18,11,P023,0,6,30
2022-06-18,12,P023,2,0,32
2022-06-18,13,P023,3,0,35
2022-06-18,14,P023,2,0,37
2022-06-18,15,P023,0,8,29
2022-06-18,16,P023,0,5,24
2022-06-18,17,P023,0,8,16
2022-06-18,18,P023,0,3,13
2022-06-18,19,P023,3,0,16
2022-06-18,20,P023,5,0,21
2022-06-18,21,P023,1,0,22
2022-06-18,22,P023,0,2,20
2022-06-18,23,P023,7,0,27
2022-06-19,0,P023,5,0,32
2022-06-19,1,P023,17,0,49
2022-06-19,2,P023,5,0,54
2022-06-19,3,P023,0,4,50
2022-06-19,4,P023,0,0,50
2022-06-19,5,P023,0,0,50
2022-06-19,6,P023,0,4,46
2022-06-19,7,P023,0,5,41
2022-06-19,8,P023,0,6,35
2022-06-19,9,P023,7,0,42
2022-06-19,10,P023,0,0,42
2022-06-19,11,P023,0,4,38
2022-06-19,12,P023,0,2,36
2022-06-19,13,P023,0,1,35
2022-06-19,14,P023,2,0,37
2022-06-19,15,P023,0,6,31
2022-06-19,16,P023,0,1,30
2022-06-19,17,P023,0,7,23
2022-06-19,18,P023,0,3,20
2022-06-19,19,P023,0,1,19
2022-06-19,20,P023,1,0,20
2022-06-19,21,P023,8,0,28
2022-06-19,22,P023,3,0,31
2022-06-19,23,P023,5,0,36
2022-06-20,0,P023,4,0,40
2022-06-20,1,P023,10,0,50
2022-06-20,2,P023,3,0,53
2022-06-20,3,P023,0,2,51
2022-06-20,4,P023,0,0,51
2022-06-20,5,P023,0,2,49
2022-06-20,6,P023,0,3,46
2022-06-20,7,P023,0,0,46
2022-06-20,8,P023,0,11,35
2022-06-20,9,P023,0,16,19
2022-06-20,10,P023,0,1,18
2022-06-20,11,P023,4,0,22
2022-06-20,12,P023,0,2,20
2022-06-20,13,P023,4,0,24
2022-06-20,14,P023,0,9,15
2022-06-20,15,P023,1,0,16
2022-06-20,16,P023,5,0,21
2022-06-20,17,P023,0,2,19
2022-06-20,18,P023,20,0,39
2022-06-20,19,P023,11,0,50
2022-06-20,20,P023,1,0,51
2022-06-20,21,P023,4,0,55
2022-06-20,22,P023,1,0,56
2022-06-20,23,P023,0,1,55
2022-06-21,0,P023,0,0,55
2022-06-21,1,P023,0,0,55
2022-06-21,2,P023,0,0,55
2022-06-21,3,P023,0,0,55
2022-06-21,4,P023,0,0,55
2022-06-21,5,P023,0,1,54
2022-06-21,6,P023,0,0,54
2022-06-21,7,P023,0,10,44
2022-06-21,8,P023,0,10,34
2022-06-21,9,P023,0,16,18
2022-06-21,10,P023,0,10,8
2022-06-21,11,P023,1,0,9
2022-06-21,12,P023,8,0,17
2022-06-21,13,P023,0,7,10
2022-06-21,14,P023,0,1,9
2022-06-21,15,P023,0,0,9
2022-06-21,16,P023,6,0,15
2022-06-21,17,P023,18,0,33
2022-06-21,18,P023,15,0,48
2022-06-21,19,P023,8,0,56
2022-06-21,20,P023,1,0,57
2022-06-21,21,P023,6,0,63
2022-06-21,22,P023,1,0,64
2022-06-21,23,P023,1,0,65
2022-06-22,0,P023,1,0,66
2022-06-22,1,P023,0,0,66
2022-06-22,2,P023,0,0,66
2022-06-22,3,P023,0,0,66
2022-06-22,4,P023,0,0,66
2022-06-22,5,P023,0,1,65
2022-06-22,6,P023,0,0,65
2022-06-22,7,P023,0,11,54
2022-06-22,8,P023,0,11,43
2022-06-22,9,P023,0,4,39
2022-06-22,10,P023,0,11,28
2022-06-22,11,P023,0,9,19
2022-06-22,12,P023,0,0,19
2022-06-22,13,P023,0,1,18
2022-06-22,14,P023,0,4,14
2022-06-22,15,P023,8,0,22
2022-06-22,16,P023,15,0,37
2022-06-22,17,P023,7,0,44
2022-06-22,18,P023,4,0,48
2022-06-22,19,P023,0,0,48
2022-06-22,20,P023,6,0,54
2022-06-22,21,P023,0,1,53
2022-06-22,22,P023,0,3,50
2022-06-22,23,P023,1,0,51
2022-06-23,0,P023,0,1,50
2022-06-23,1,P023,0,0,50
2022-06-23,2,P023,0,0,50
2022-06-23,3,P023,0,1,49
2022-06-23,4,P023,0,0,49
2022-06-23,5,P023,0,1,48
2022-06-23,6,P023,0,0,48
2022-06-23,7,P023,0,8,40
