local,day,latitude,longitude,score
Avenida da Républica,2022-05-06,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-07,38.73593143,-9.145660419,6
Avenida da Républica,2022-05-08,38.73593143,-9.145660419,6
Avenida da Républica,2022-05-09,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-10,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-11,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-12,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-13,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-14,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-15,38.73593143,-9.145660419,6
Avenida da Républica,2022-05-16,38.73593143,-9.145660419,8
Avenida da Républica,2022-05-17,38.73593143,-9.145660419,8
Avenida da Républica,2022-05-18,38.73593143,-9.145660419,0
Avenida da Républica,2022-05-21,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-22,38.73593143,-9.145660419,6
Avenida da Républica,2022-05-23,38.73593143,-9.145660419,6
Avenida da Républica,2022-05-24,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-25,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-26,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-27,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-28,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-29,38.73593143,-9.145660419,6
Avenida da Républica,2022-05-30,38.73593143,-9.145660419,8
Avenida da Républica,2022-05-31,38.73593143,-9.145660419,8
Avenida da Républica,2022-06-01,38.73593143,-9.145660419,8
Avenida da Républica,2022-06-02,38.73593143,-9.145660419,8
Avenida da Républica,2022-06-03,38.73593143,-9.145660419,8
Avenida da Républica,2022-06-04,38.73593143,-9.145660419,6
Avenida da Républica,2022-06-05,38.73593143,-9.145660419,6
Avenida da Républica,2022-06-06,38.73593143,-9.145660419,6
Avenida da Républica,2022-06-07,38.73593143,-9.145660419,6
Avenida da Républica,2022-06-08,38.73593143,-9.145660419,1
Avenida da Républica,2022-06-09,38.73593143,-9.145660419,8
Avenida da Républica,2022-06-10,38.73593143,-9.145660419,5
Avenida da Républica,2022-06-11,38.73593143,-9.145660419,5
Avenida da Républica,2022-06-12,38.73593143,-9.145660419,5
Avenida da Républica,2022-06-13,38.73593143,-9.145660419,5
Avenida da Républica,2022-06-14,38.73593143,-9.145660419,6
Avenida da Républica,2022-06-15,38.73593143,-9.145660419,8
Avenida da Républica,2022-06-16,38.73593143,-9.145660419,5
Avenida da Républica,2022-06-17,38.73593143,-9.145660419,7
Avenida da Républica,2022-06-18,38.73593143,-9.145660419,6
Avenida da Républica,2022-06-19,38.73593143,-9.145660419,6
Avenida da Républica,2022-06-20,38.73593143,-9.145660419,3
Avenida da Républica,2022-06-21,38.73593143,-9.145660419,7
Avenida da Républica,2022-06-22,38.73593143,-9.145660419,7
Avenida da Républica,2022-06-23,38.73593143,-9.145660419,7
Avenida da Républica,2022-06-24,38.73593143,-9.145660419,7
Avenida da Républica,2022-06-25,38.73593143,-9.145660419,6
Avenida da Républica,2022-06-26,38.73593143,-9.145660419,4
Avenida da Républica,2022-06-27,38.73593143,-9.145660419,7
Avenida da Républica,2022-06-28,38.73593143,-9.145660419,7
Avenida da Républica,2022-06-29,38.73593143,-9.145660419,8
Avenida da Républica,2022-06-30,38.73593143,-9.145660419,1
Avenida da Républica,2022-07-03,38.73593143,-9.145660419,5
Avenida da Républica,2022-07-04,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-05,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-06,38.73593143,-9.145660419,8
Avenida da Républica,2022-07-07,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-08,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-09,38.73593143,-9.145660419,6
Avenida da Républica,2022-07-10,38.73593143,-9.145660419,5
Avenida da Républica,2022-07-11,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-12,38.73593143,-9.145660419,8
Avenida da Républica,2022-07-13,38.73593143,-9.145660419,8
Avenida da Républica,2022-07-14,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-15,38.73593143,-9.145660419,0
Avenida da Républica,2022-07-16,38.73593143,-9.145660419,6
Avenida da Républica,2022-07-17,38.73593143,-9.145660419,5
Avenida da Républica,2022-07-18,38.73593143,-9.145660419,8
Avenida da Républica,2022-07-19,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-20,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-21,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-22,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-23,38.73593143,-9.145660419,6
Avenida da Républica,2022-07-24,38.73593143,-9.145660419,5
Avenida da Républica,2022-07-25,38.73593143,-9.145660419,6
Avenida da Républica,2022-07-26,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-27,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-28,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-29,38.73593143,-9.145660419,7
Avenida da Républica,2022-07-30,38.73593143,-9.145660419,6
Avenida da Républica,2022-07-31,38.73593143,-9.145660419,5
Avenida da Républica,2022-08-01,38.73593143,-9.145660419,0
Avenida da Républica,2022-08-02,38.73593143,-9.145660419,6
Avenida da Républica,2022-08-03,38.73593143,-9.145660419,1
Avenida da Républica,2022-08-06,38.73593143,-9.145660419,5
Avenida da Républica,2022-08-07,38.73593143,-9.145660419,5
Avenida da Républica,2022-08-08,38.73593143,-9.145660419,6
Avenida da Républica,2022-08-09,38.73593143,-9.145660419,6
Avenida da Républica,2022-08-10,38.73593143,-9.145660419,6
Avenida da Républica,2022-08-11,38.73593143,-9.145660419,6
Avenida da Républica,2022-08-12,38.73593143,-9.145660419,6
Avenida da Républica,2022-08-13,38.73593143,-9.145660419,5
Avenida da Républica,2022-08-14,38.73593143,-9.145660419,4
Avenida da Républica,2022-08-15,38.73593143,-9.145660419,4
Avenida da Républica,2022-08-16,38.73593143,-9.145660419,6
Avenida da Républica,2022-08-17,38.73593143,-9.145660419,6
Avenida da Républica,2022-08-18,38.73593143,-9.145660419,6
Avenida da Républica,2022-08-19,38.73593143,-9.145660419,7
Avenida da Républica,2022-08-21,38.73593143,-9.145660419,5
Avenida da Républica,2022-08-22,38.73593143,-9.145660419,7
Avenida da Républica,2022-08-23,38.73593143,-9.145660419,7
Avenida da Républica,2022-08-24,38.73593143,-9.145660419,7
Avenida da Républica,2022-08-25,38.73593143,-9.145660419,7
Avenida da Républica,2022-08-26,38.73593143,-9.145660419,7
Avenida da Républica,2022-08-27,38.73593143,-9.145660419,6
Avenida da Républica,2022-08-28,38.73593143,-9.145660419,5
Avenida da Républica,2022-08-29,38.73593143,-9.145660419,7
Avenida da Républica,2022-08-30,38.73593143,-9.145660419,7
Avenida da Républica,2022-08-31,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-01,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-02,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-03,38.73593143,-9.145660419,6
Avenida da Républica,2022-09-04,38.73593143,-9.145660419,1
Avenida da Républica,2022-09-05,38.73593143,-9.145660419,0
Avenida da Républica,2022-09-08,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-09,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-10,38.73593143,-9.145660419,6
Avenida da Républica,2022-09-11,38.73593143,-9.145660419,6
Avenida da Républica,2022-09-12,38.73593143,-9.145660419,5
Avenida da Républica,2022-09-13,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-14,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-15,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-16,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-17,38.73593143,-9.145660419,6
Avenida da Républica,2022-09-18,38.73593143,-9.145660419,6
Avenida da Républica,2022-09-19,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-20,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-21,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-22,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-23,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-24,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-25,38.73593143,-9.145660419,6
Avenida da Républica,2022-09-26,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-27,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-28,38.73593143,-9.145660419,8
Avenida da Républica,2022-09-29,38.73593143,-9.145660419,7
Avenida da Républica,2022-09-30,38.73593143,-9.145660419,7
