datetime,Classic_Stat_occ,Classic_Stat_price,Classic_Chronos_occ,Classic_Chronos_price,MCTS_Stat_occ,MCTS_Stat_price,MCTS_Chronos_occ,MCTS_Chronos_price,Forecast_Chronos,Forecast_Stat
2022-06-08 00:45:00,2.7267593774177343,1.8478679262876112,137.45232401137625,2.2085117480712912,1.4410599080465847,1.75,180.0,1.7000000000000002,169.47969245910645,1.7883702726142692
2022-06-08 00:50:00,2.0564868171306894,1.8478679262876112,151.4528048550577,2.2085117480712912,180.0,1.75,180.0,1.7000000000000002,169.51905822753906,1.77357864611156
2022-06-08 00:55:00,2.5248271960247677,1.8478679262876112,174.45781555867964,2.2085117480712912,1.3667045889298062,1.75,180.0,1.7000000000000002,169.55842399597168,1.6666119664122006
2022-06-08 01:00:00,1.9498996998690825,1.8478679262876112,158.62254312628593,2.244671228889742,1.6551563024473142,1.75,180.0,1.7000000000000002,169.5977897644043,1.724434948904657
2022-06-08 01:05:00,2.7127420235208466,1.8478679262876112,174.31507476881833,2.244671228889742,1.6648482879921287,1.75,180.0,1.7000000000000002,169.55842399597168,1.734431024845626
2022-06-08 01:10:00,3.2027821124122853,1.8478679262876112,126.55958354024172,2.244671228889742,1.7033734804857352,1.75,180.0,1.7000000000000002,169.51905822753906,1.6870266146130772
2022-06-08 01:15:00,3.0304454816249184,1.8478679262876112,119.92508534999233,2.244671228889742,1.7059302602255633,1.75,180.0,1.7000000000000002,169.47969245910645,1.660174810440289
2022-06-08 01:20:00,2.8467357575441548,1.8478679262876112,119.8320026769682,2.265951653796831,1.6556567130924964,1.75,180.0,1.7000000000000002,169.44032669067383,1.6814184959105103
2022-06-08 01:25:00,1.970219781215916,1.8478679262876112,114.37774878123903,2.265951653796831,2.2607286359932726,1.75,180.0,1.7000000000000002,169.4009609222412,1.6982059819603013
2022-06-08 01:30:00,1.9251901849819857,1.8478679262876112,120.63050013850024,2.265951653796831,2.3559826665769097,1.75,180.0,1.7000000000000002,169.3615951538086,1.6514159964265875
2022-06-08 01:35:00,2.559162279340506,1.8478679262876112,135.7448636529454,2.265951653796831,1.7220822789607348,1.75,180.0,1.7000000000000002,169.32222938537598,1.6539070627529675
2022-06-08 01:40:00,2.6744493516213157,1.8478679262876112,114.54837002222831,2.281892197897198,2.2606276863386157,1.75,180.0,1.7000000000000002,169.28286361694336,1.6823229746815025
2022-06-08 01:45:00,1.8736677615019255,1.8478679262876112,114.81399939737324,2.281892197897198,2.483973704662153,1.75,180.0,1.7000000000000002,169.24349784851074,1.6873371145781615
2022-06-08 01:50:00,1.8499976710185788,1.8478679262876112,141.3226256294146,2.281892197897198,2.994473651416019,1.75,180.0,1.7000000000000002,169.20413208007812,1.6869590493874833
2022-06-08 01:55:00,1.8992779234777002,1.8478679262876112,134.97116311045656,2.281892197897198,2.339790666712322,1.75,180.0,1.7000000000000002,169.1647663116455,1.6990269368427158
2022-06-08 02:00:00,2.5475270476300027,1.8478679262876112,133.3333166790233,2.2922601074366944,1.8449522072354552,1.75,180.0,1.7000000000000002,169.1254005432129,1.6552153450468472
2022-06-08 02:05:00,3.1626971025357733,1.8478679262876112,142.93589630349075,2.2922601074366944,1.750589532286713,1.75,180.0,1.7000000000000002,169.28287315368652,1.692032253739728
2022-06-08 02:10:00,2.9316677023613193,1.8478679262876112,154.48264313993877,2.2922601074366944,180.0,1.75,180.0,1.7000000000000002,169.44034576416016,1.6963397626170926
2022-06-08 02:15:00,1.9536168484947058,1.8478679262876112,149.21305266449434,2.2922601074366944,180.0,1.75,180.0,1.7000000000000002,169.5978183746338,1.6936852365873993
2022-06-08 02:20:00,1.633546873809951,1.8478679262876112,140.4468188224619,2.2987220115137443,180.0,1.75,180.0,1.7000000000000002,169.75529098510742,1.6252852662702155
2022-06-08 02:25:00,1.758605534286365,1.8478679262876112,111.77951926665729,2.2987220115137443,180.0,1.75,180.0,1.7000000000000002,169.91276359558105,1.630400585790032
2022-06-08 02:30:00,1.738417334861377,1.8478679262876112,137.95056276335336,2.2987220115137443,180.0,1.75,180.0,1.7000000000000002,170.0702362060547,1.5824726408530196
2022-06-08 02:35:00,2.3762427600325804,1.8478679262876112,139.52829018853083,2.2987220115137443,180.0,1.75,180.0,1.7000000000000002,170.22770881652832,1.5503864664712894
2022-06-08 02:40:00,2.6575159989716557,1.8478679262876112,130.78365168699216,2.3149591487452623,180.0,1.75,180.0,1.7000000000000002,170.38518142700195,1.5211173557879132
2022-06-08 02:45:00,180.0,1.8478679262876112,146.72783053483155,2.3149591487452623,180.0,1.75,180.0,1.7000000000000002,170.5426540374756,1.479688830130843
2022-06-08 02:50:00,180.0,1.8478679262876112,140.4129111793625,2.3149591487452623,180.0,1.75,180.0,1.7000000000000002,170.70012664794922,1.454145297457878
2022-06-08 02:55:00,180.0,1.8478679262876112,141.35811012485752,2.3149591487452623,180.0,1.75,180.0,1.7000000000000002,170.85759925842285,1.3994750188680052
2022-06-08 03:00:00,180.0,1.8478679262876112,131.24676244018707,2.3189371358161055,180.0,1.75,180.0,1.7000000000000002,171.01507186889648,1.4128487599977873
2022-06-08 03:05:00,180.0,1.8478679262876112,110.83477932646801,2.3189371358161055,180.0,1.75,180.0,1.7000000000000002,170.85759925842285,1.3870267297221632
2022-06-08 03:10:00,180.0,1.8478679262876112,121.14674392433913,2.3189371358161055,180.0,1.75,180.0,1.7000000000000002,170.70012664794922,1.4328171154300842
2022-06-08 03:15:00,1.307585577998169,1.8478679262876112,116.55690800985903,2.3189371358161055,180.0,1.75,180.0,1.7000000000000002,170.5426540374756,1.5515984440740507
2022-06-08 03:20:00,1.2909837757283256,1.8478679262876112,94.76084881941298,2.3216676497980107,180.0,1.75,180.0,1.7000000000000002,170.38518142700195,1.534913308020066
2022-06-08 03:25:00,1.2081137882062933,1.8478679262876112,119.64006453092298,2.3216676497980107,180.0,1.75,180.0,1.7000000000000002,170.22770881652832,1.5366398855254735
2022-06-08 03:30:00,1.422374099466555,1.8478679262876112,127.07540022445791,2.3216676497980107,180.0,1.75,180.0,1.7000000000000002,170.0702362060547,1.5755875451895345
2022-06-08 03:35:00,1.5276446442671159,1.8478679262876112,166.90097025967594,2.3216676497980107,180.0,1.75,180.0,1.7000000000000002,169.91276359558105,1.546130113255119
2022-06-08 03:40:00,1.5823071055434024,1.8478679262876112,169.06980428457626,2.335937462523149,180.0,1.75,180.0,1.7000000000000002,169.75529098510742,1.5977350320784234
2022-06-08 03:45:00,1.5569678505620221,1.8478679262876112,166.626764253996,2.335937462523149,2.1933902568602033,1.75,180.0,1.7000000000000002,169.5978183746338,1.6841148316811552
2022-06-08 03:50:00,2.2540701221597708,1.8478679262876112,142.48690267485526,2.335937462523149,2.1699035049019217,1.75,149.82789828155063,1.7000000000000002,169.44034576416016,1.6265355482706085
2022-06-08 03:55:00,1.5528226391351665,1.8478679262876112,112.96264434721202,2.335937462523149,2.3291601335975303,1.75,180.0,1.7000000000000002,169.28287315368652,1.6457968324907353
2022-06-08 04:00:00,1.8176480224059632,1.8478679262876112,147.94080614156542,2.3420559720026417,180.0,1.75,180.0,1.7000000000000002,169.1254005432129,1.709355033905021
2022-06-08 04:05:00,1.6422364060797725,1.8478679262876112,129.9669164960993,2.3420559720026417,180.0,1.75,180.0,1.7000000000000002,169.1254005432129,1.7201186514847804
2022-06-08 04:10:00,1.5796091792524471,1.8478679262876112,130.65486477024143,2.3420559720026417,1.753380780037446,1.75,180.0,1.7000000000000002,169.1254005432129,1.649570297815873
2022-06-08 04:15:00,1.6678595558798555,1.8478679262876112,115.95846410901402,2.3420559720026417,180.0,1.75,180.0,1.7000000000000002,169.1254005432129,1.6947041973512365
2022-06-08 04:20:00,1.637828093154621,1.8478679262876112,137.62818209563838,2.3358579672023265,180.0,1.75,180.0,1.7000000000000002,169.1254005432129,1.7079113384146822
