date,hour,y_true,y_pred,abs_err,sq_err
2022-06-15,15,20.0,27.43918918918919,7.4391891891891895,55.34153579254931
2022-06-15,16,24.0,30.31756756756757,6.317567567567568,39.911659970781606
2022-06-15,17,41.0,35.608108108108105,5.391891891891895,29.072498173849556
2022-06-15,18,49.0,40.86486486486486,8.135135135135137,66.18042366691019
2022-06-15,19,55.0,45.33108108108108,9.66891891891892,93.4879930606282
2022-06-15,20,56.0,48.486486486486484,7.513513513513516,56.452885317750216
2022-06-15,21,56.0,50.08783783783784,5.912162162162161,34.95366143170196
2022-06-15,22,56.0,51.0,5.0,25.0
2022-06-15,23,58.0,51.91891891891892,6.081081081081081,36.97954711468225
2022-06-16,0,58.0,52.74324324324324,5.256756756756758,27.633491599707828
2022-06-16,1,58.0,53.229729729729726,4.770270270270274,22.75547845142443
2022-06-16,2,58.0,53.391891891891895,4.608108108108105,21.23466033601166
2022-06-16,3,58.0,53.432432432432435,4.567567567567565,20.86267348429508
2022-06-16,4,58.0,53.36486486486486,4.635135135135137,21.48447772096422
2022-06-16,5,57.0,53.28378378378378,3.7162162162162176,13.81026296566838
2022-06-16,6,54.0,52.472972972972975,1.5270270270270245,2.331811541270993
2022-06-16,7,51.0,48.96621621621622,2.0337837837837824,4.136276479181879
2022-06-16,8,48.0,42.601351351351354,5.398648648648646,29.145407231555847
2022-06-16,9,43.0,35.472972972972975,7.5270270270270245,56.65613586559529
2022-06-16,10,41.0,30.52027027027027,10.47972972972973,109.82473520818115
2022-06-16,11,40.0,29.14189189189189,10.858108108108109,117.89851168736305
2022-06-16,12,41.0,29.695945945945947,11.304054054054053,127.78163805697586
2022-06-16,13,43.0,29.945945945945947,13.054054054054053,170.40832724616504
2022-06-16,14,43.0,27.37837837837838,15.621621621621621,244.03506208911614
2022-06-16,15,40.0,27.43918918918919,12.56081081081081,157.77396822498173
2022-06-16,16,41.0,30.31756756756757,10.682432432432432,114.11436267348428
2022-06-16,17,44.0,35.608108108108105,8.391891891891895,70.42384952520092
2022-06-16,18,48.0,40.86486486486486,7.135135135135137,50.910153396639906
